BUDDY BOY,4012 West 38th Avenue,Denver,CO,80212,2016-11-14 01:00:00,2016-11-14 01:00:00
1:11,17034 Highway 17,Moffat,CO,81143,2016-11-14 01:00:01,2016-11-14 01:00:01
LODO WELLNESS CENTER,"1617 Wazee Street, Unit B",Denver,CO,80202,2016-11-14 01:00:02,2016-11-14 01:00:02
3D CANNABIS CENTER,248 East US Highway 50,Salida,CO,81201,2016-11-14 01:00:03,2016-11-14 01:00:03
MINDFUL,6403 North Jackson Gap Street,Aurora,CO,80019,2016-11-14 01:00:04,2016-11-14 01:00:04
MINDFUL,1401 Peoria Street,Aurora,CO,80011,2016-11-14 01:00:05,2016-11-14 01:00:05
420 GREEN GENIE INC,106 East 4th Avenue,Antonito,CO,81120,2016-11-14 01:00:06,2016-11-14 01:00:06
THE CLINIC ON COLFAX,4625 East Colfax Avenue,Denver,CO,80220,2016-11-14 01:00:07,2016-11-14 01:00:07
PURE MEDICAL DISPENSARY,505 West 40th Avenue,Denver,CO,80216,2016-11-14 01:00:08,2016-11-14 01:00:08
THE SANCTUARY,5110 Race Street,Denver,CO,80216,2016-11-14 01:00:09,2016-11-14 01:00:09
1859,231 Gregory Street,Black Hawk,CO,80422,2016-11-14 01:00:10,2016-11-14 01:00:10
A CUT OFF THE TOP MEDICAL MARIJUANA LLC,2059 West 9th Avenue,Denver,CO,80204,2016-11-14 01:00:11,2016-11-14 01:00:11
HERBAN UNDERGROUND,"70 Broadway, Suite 50",Denver,CO,80203,2016-11-14 01:00:12,2016-11-14 01:00:12
HIGH VALLEY RETAIL CANNABIS,60250 County Road T,Moffat,CO,81143,2016-11-14 01:00:13,2016-11-14 01:00:13
HIGH VALLEY ANTONITO RETAIL CANNABIS,315 Main Street,Antonito,CO,81120,2016-11-14 01:00:14,2016-11-14 01:00:14
ACES PLACE LLC,"1101 Academy Court, Unit 4",Fort Collins,CO,80524,2016-11-14 01:00:15,2016-11-14 01:00:15
ACME DISPENSARY INC,"309 Belleview Avenue, Unit 1A",Crested Butte,CO,81224,2016-11-14 01:00:16,2016-11-14 01:00:16
ACME HEALING CENTER OF CARBONDALE LLC,958 Highway 133,Carbondale,CO,81623,2016-11-14 01:00:17,2016-11-14 01:00:17
ACME HEALING CENTER OF GUNNISON LLC,620 South 9th Street,Gunnison,CO,81230,2016-11-14 01:00:18,2016-11-14 01:00:18
ACME HEALING CENTER OF RIDGWAY LLC,157 Highway 550 Suite B,Ridgway,CO,81432,2016-11-14 01:00:19,2016-11-14 01:00:19
ACME HEALING CENTER OF SILVERTON LLC,1330 Greene Street,Silverton,CO,81433,2016-11-14 01:00:20,2016-11-14 01:00:20
ADVANCED MEDICAL ALTERNATIVES LLC,1269 Elati Street,Denver,CO,80204,2016-11-14 01:00:21,2016-11-14 01:00:21
STRAWBERRY FIELDS,116 Santa Fe Trail Drive,Trinidad,CO,81082,2016-11-14 01:00:22,2016-11-14 01:00:22
NATURAL SELECTIONS,920 West 104th Avenue,Northglenn,CO,80234,2016-11-14 01:00:23,2016-11-14 01:00:23
SWEET LEAF,"15200 East 6th Avenue, Unit 1",Aurora,CO,80011,2016-11-14 01:00:24,2016-11-14 01:00:24
THE DAB BY NEXT HARVEST,2748 West Alameda Avenue,Denver,CO,80219,2016-11-14 01:00:25,2016-11-14 01:00:25
ALPENGLOW BOTANICALS LLC,"1805 Airport Road, Units B1B & B1C",Breckenridge,CO,80424,2016-11-14 01:00:26,2016-11-14 01:00:26
ALPENGLOW BOTANICALS,765 W Anemone Trail  Unit C,Dillon,CO,80435,2016-11-14 01:00:27,2016-11-14 01:00:27
FROSTED LEAF,445 Federal Boulevard,Denver,CO,80204,2016-11-14 01:00:28,2016-11-14 01:00:28
ALPINE WELLNESS,"300 West Colorado Avenue, Unit 2C, Suites B-H",Telluride,CO,81435,2016-11-14 01:00:29,2016-11-14 01:00:29
ROCKY MOUNTAIN ORGANICS,5312 Hwy 119 Unit B,Black Hawk,CO,80422,2016-11-14 01:00:30,2016-11-14 01:00:30
ROCKY MOUNTAIN ORGANICS,161 Gregory Street,Central City,CO,80427,2016-11-14 01:00:31,2016-11-14 01:00:31
ALTERNATIVE MEDICINE ON CAPITOL HILL LLC,1301 Marion Street,Denver,CO,80218,2016-11-14 01:00:32,2016-11-14 01:00:32
NATIVE ROOTS APOTHECARY,"910 16th Street, Suite 805",Denver,CO,80202,2016-11-14 01:00:33,2016-11-14 01:00:33
NATURE'S HERBS AND WELLNESS DTC,"3435 South Yosemite Street, Suite 200",Denver,CO,80231,2016-11-14 01:00:34,2016-11-14 01:00:34
DENVER CLONE STORE,"755 South Federal Boulevard, Unit 5",Denver,CO,80219,2016-11-14 01:00:35,2016-11-14 01:00:35
DENVER CLONE STORE,4571 Ivy Street,Denver,CO,80216,2016-11-14 01:00:36,2016-11-14 01:00:36
LEAF ON THE MESA,1917 Santa Fe Drive,Pueblo,CO,81006,2016-11-14 01:00:37,2016-11-14 01:00:37
GREEN TREE MEDICINALS,12626 North 107 Street,Longmont,CO,80504,2016-11-14 01:00:38,2016-11-14 01:00:38
ANIMAS HERBAL WELLNESS CENTER INC,"1111 Camino Del Rio, Suite 5",Durango,CO,81301,2016-11-14 01:00:39,2016-11-14 01:00:39
ANNIE'S DISPENSARY,135 Nevada Street,Central City,CO,80427,2016-11-14 01:00:40,2016-11-14 01:00:40
HARVEST HOUSE,211 Highway 119,Nederland,CO,80466,2016-11-14 01:00:41,2016-11-14 01:00:41
TERRAPIN CARE STATION,"11091 East Mississippi Avenue, Suite B",Aurora,CO,80012,2016-11-14 01:00:42,2016-11-14 01:00:42
TERRAPIN CARE STATION,"11900 East 33rd Avenue, Suite 1",Aurora,CO,80010,2016-11-14 01:00:43,2016-11-14 01:00:43
SERGEANT GREEN LEAF,1410 Argentine Street,Georgetown,CO,80444,2016-11-14 01:00:44,2016-11-14 01:00:44
ASCEND II,3555 South Yosemite Street,Denver,CO,80237,2016-11-14 01:00:45,2016-11-14 01:00:45
BACK TO THE GARDEN HEALTH & WELLNESS CENTER LLC,1755 South Broadway,Denver,CO,80210,2016-11-14 01:00:46,2016-11-14 01:00:46
BALLPARK HOLISTIC DISPENSARY,"2119 Larimer Street, Suite 1",Denver,CO,80205,2016-11-14 01:00:47,2016-11-14 01:00:47
CHRONIC THERAPY,10030 West 27th Avenue,Wheat Ridge,CO,80215,2016-11-14 01:00:48,2016-11-14 01:00:48
BELEAF WELLNESS CENTER LLC,327 Main Street,San Luis,CO,81152,2016-11-14 01:00:49,2016-11-14 01:00:49
TRU CANNABIS BERKELEY,4103 Sheridan Boulevard,Denver,CO,80212,2016-11-14 01:00:50,2016-11-14 01:00:50
BEST BUDS INC,811 North Main Street,Gunnison,CO,81230,2016-11-14 01:00:51,2016-11-14 01:00:51
LIVWELL,432 South Broadway,Denver,CO,80209,2016-11-14 01:00:52,2016-11-14 01:00:52
DRIFT,"1750 30th Street, Unit 12",Boulder,CO,80301,2016-11-14 01:00:53,2016-11-14 01:00:53
FINE TREES,5353 Joliet Street,Denver,CO,80239,2016-11-14 01:00:54,2016-11-14 01:00:54
HERBAL BLISS,"842 North Summit Boulevard, Suite 13",Frisco,CO,80443,2016-11-14 01:00:55,2016-11-14 01:00:55
THE HERBAL CENTER,12005 East 37th Avenue,Denver,CO,80239,2016-11-14 01:00:56,2016-11-14 01:00:56
THE HERBAL CENTER,1909 South Broadway,Denver,CO,80210,2016-11-14 01:00:57,2016-11-14 01:00:57
URBA CRESTED BUTTE,"310 North Belleview Avenue, Unit 2",Crested Butte,CO,81224,2016-11-14 01:00:58,2016-11-14 01:00:58
B GOOD,"11450 Cherokee Street, Unit A6",Northglenn,CO,80234,2016-11-14 01:00:59,2016-11-14 01:00:59
BOTANICO INC,3054 Larimer Street,Denver,CO,80205,2016-11-14 01:00:47,2016-11-14 01:00:47
THE GREEN ROOM,"2750 Glenwood Drive, Suite 8",Boulder,CO,80304,2016-11-14 01:00:48,2016-11-14 01:00:48
NATIVE ROOTS BOULDER,1146 Pearl Street,Boulder,CO,80302,2016-11-14 01:00:49,2016-11-14 01:00:49
BOULDER WELLNESS CENTER LLC,"5420 Arapahoe Avenue, Unit E",Boulder,CO,80303,2016-11-14 01:00:50,2016-11-14 01:00:50
GREEN DRAGON COLORADO,"1795 Airport Road, Unit A3",Breckenridge,CO,80424,2016-11-14 01:00:51,2016-11-14 01:00:51
BRECKENRIDGE ORGANIC THERAPY LLC,"1900 Airport Road, Unit A-1",Breckenridge,CO,80424,2016-11-14 01:00:52,2016-11-14 01:00:52
BUD HUT INC,"973 U.S. Highway 85 87, Suite 100",Walsenburg,CO,81089,2016-11-14 01:00:53,2016-11-14 01:00:53
LIVE GREEN CANNABIS,2517 Sheridan Boulevard,Edgewater,CO,80214,2016-11-14 01:00:54,2016-11-14 01:00:54
BUDS LTD,104 Cardinal Way,Parachute,CO,81635,2016-11-14 01:00:55,2016-11-14 01:00:55
THE STATION,3005 28th Street,Boulder,CO,80301,2016-11-14 01:00:56,2016-11-14 01:00:56
PURE INTENTIONS WELLNESS CENTER,2565 North Interstate 25,Pueblo,CO,81008,2016-11-14 01:00:57,2016-11-14 01:00:57
CANNACO,3019 Toupal Drive,Trinidad,CO,81082,2016-11-14 01:00:58,2016-11-14 01:00:58
SMOKEYS,2515 7th Avenue,Garden City,CO,80631,2016-11-14 01:00:59,2016-11-14 01:00:59
THE JOINT BY CANNABIS,4735 West 38th Avenue,Denver,CO,80212,2016-11-14 01:00:47,2016-11-14 01:00:47
PIG N' WHISTLE,4801 West Colfax Avenue,Denver,CO,80204,2016-11-14 01:00:48,2016-11-14 01:00:48
GREEN DRAGON COLORADO,930 West Byers Place,Denver,CO,80223,2016-11-14 01:00:49,2016-11-14 01:00:49
CAREGIVERS FOR LIFE LLC,310 Saint Paul Street,Denver,CO,80206,2016-11-14 01:00:50,2016-11-14 01:00:50
THE HAPPY CAMPER CANNABIS COMPANY,80 Rosalie Road,Bailey,CO,80421,2016-11-14 01:00:51,2016-11-14 01:00:51
CROSS GENETICS,"4902 East Smith Road, Unit C",Denver,CO,80216,2016-11-14 01:00:52,2016-11-14 01:00:52
GROUNDSWELL,3121 East Colfax Avenue,Denver,CO,80206,2016-11-14 01:00:53,2016-11-14 01:00:53
CHOICE ORGANICS INC,"813 Smithfield Drive, Units C & D",Fort Collins,CO,80524,2016-11-14 01:00:54,2016-11-14 01:00:54
STARBUDS,1640 East Evans Avenue,Denver,CO,80210,2016-11-14 01:00:55,2016-11-14 01:00:55
SACRED SEED,5885 East Evans Avenue,Denver,CO,80222,2016-11-14 01:00:56,2016-11-14 01:00:56
CMED LLC,"615 Buggy Circle, Unit D",Carbondale,CO,81623,2016-11-14 01:00:57,2016-11-14 01:00:57
THE GREEN DEPOT,2020 South Broadway,Denver,CO,80210,2016-11-14 01:00:58,2016-11-14 01:00:58
COLORADO BEST BUDZ LLC,"23344 Highway 50 East, Unit B",Pueblo,CO,81006,2016-11-14 01:00:59,2016-11-14 01:00:59
THE SPRING,15 Colorado Boulevard,Idaho Springs,CO,80452,2016-11-14 01:00:47,2016-11-14 01:00:47
THE SPOT,748 East Industrial Boulevard,Pueblo West,CO,81007,2016-11-14 01:00:48,2016-11-14 01:00:48
THE SPOT,453 North Commercial Street,Trinidad,CO,81082,2016-11-14 01:00:49,2016-11-14 01:00:49
PURE MEDICAL DISPENSARY,1133 Bannock  Street,Denver,CO,80204,2016-11-14 01:00:50,2016-11-14 01:00:50
TRU CANNABIS COLFAX,5130 East Colfax Avenue,Denver,CO,80220,2016-11-14 01:00:51,2016-11-14 01:00:51
NATURES NUGS,893 East Enterprise Drive,Pueblo West,CO,81007,2016-11-14 01:00:52,2016-11-14 01:00:52
LIGHTSHADE,11975 East 40th Avenue,Denver,CO,80239,2016-11-14 01:00:53,2016-11-14 01:00:53
HEADQUARTERS CANNABIS CO,537 Canyon Boulevard,Boulder,CO,80302,2016-11-14 01:00:54,2016-11-14 01:00:54
HEADQUARTERS,4497 Ute Highway,Longmont,CO,80503,2016-11-14 01:00:55,2016-11-14 01:00:55
STARBUDS,4690 Brighton Boulevard,Denver,CO,80216,2016-11-14 01:00:56,2016-11-14 01:00:56
VILLAGE GREEN SOCIETY,2043 16th Street,Boulder,CO,80302,2016-11-14 01:00:57,2016-11-14 01:00:57
THE ORIGINAL LEAF,"555 East Durant Street, Unit 2E",Aspen,CO,81611,2016-11-14 01:00:58,2016-11-14 01:00:58
DOCTOR'S GARDEN,"580 Main Street, Suite 300",Carbondale,CO,81623,2016-11-14 01:00:54,2016-11-14 01:00:54
COLORADO WELLNESS INC,2057 South Broadway,Denver,CO,80210,2016-11-14 01:00:55,2016-11-14 01:00:55
LACONTES CLONE BAR & DISPENSARY,5194 Washington Street,Denver,CO,80216,2016-11-14 01:00:56,2016-11-14 01:00:56
LACONTES CLONE BAR & DISPENSARY,105 East 7th Avenue,Denver,CO,80203,2016-11-14 01:00:57,2016-11-14 01:00:57
CANNABIS STATION,1201 20th St,Denver,CO,80202,2016-11-14 01:00:58,2016-11-14 01:00:58
ROCKY MOUNTAIN HIGH,1233 West Alameda Avenue,Denver,CO,80223,2016-11-14 01:00:59,2016-11-14 01:00:59
ROCKY MOUNTAIN HIGH,1538 Wazee Street Suit 100,Denver,CO,80202,2016-11-14 01:00:47,2016-11-14 01:00:47
AJOYA,"1100 West Dillon Road, Unit D-3",Louisville,CO,80027,2016-11-14 01:00:48,2016-11-14 01:00:48
SILVERPEAK APOTHECARY,"520 East Cooper Avenue, Unit LL2 & LL3",Aspen,CO,81611,2016-11-14 01:00:49,2016-11-14 01:00:49
BACKCOUNTRY CANNABIS COMPANY,"329 Belleview Avenue, Unit A",Crested Butte,CO,81224,2016-11-14 01:00:50,2016-11-14 01:00:50
BOULDER BOTANICS,"1750 30th Street, Unit 7",Boulder,CO,80301,2016-11-14 01:00:51,2016-11-14 01:00:51
GARO DEPOT,37671 Highway 9,Fairplay,CO,80440,2016-11-14 01:00:52,2016-11-14 01:00:52
RIVERROCK,"990 West 6th Avenue, #5",Denver,CO,80204,2016-11-14 01:00:53,2016-11-14 01:00:53
SOUTHWEST ALTERNATIVE CARE FOX ST,1075 South Fox Street,Denver,CO,80223,2016-11-14 01:00:54,2016-11-14 01:00:54
GOLDEN LEAF,1755 Lincoln Avenue,Steamboat Springs,CO,80487,2016-11-14 01:00:55,2016-11-14 01:00:55
SEDGWICK ALTERNATIVE RELIEF,107 Main Avenue,Sedgwick,CO,80749,2016-11-14 01:00:56,2016-11-14 01:00:56
THE HERBAL ALTERNATIVE,1531 North Lebanon Road,Cortez,CO,81321,2016-11-14 01:00:57,2016-11-14 01:00:57
GOOD EARTH MEDS,"600 Cloman Boulevard, Suite 1 & 2",Pagosa Springs,CO,81147,2016-11-14 01:00:54,2016-11-14 01:00:54
DELILAH LLC,115 West Colorado Avenue,Telluride,CO,81435,2016-11-14 01:00:55,2016-11-14 01:00:55
REEFER MADNESS,"4401 East 46th Avenue, Suite B",Denver,CO,80216,2016-11-14 01:00:56,2016-11-14 01:00:56
DENCO LLC,"3480 Park Ave West, Unit B",Denver,CO,80216,2016-11-14 01:00:57,2016-11-14 01:00:57
DENCO LLC,5155 East 46th Avenue,Denver,CO,80216,2016-11-14 01:00:58,2016-11-14 01:00:58
DENVER DISPENSARY,4975 Vasquez Boulevard,Denver,CO,80216,2016-11-14 01:00:54,2016-11-14 01:00:54
SANTE,2070 South Huron Street,Denver,CO,80223,2016-11-14 01:00:55,2016-11-14 01:00:55
LIVWELL,"2863 Larimer Street, Suite B",Denver,CO,80205,2016-11-14 01:00:56,2016-11-14 01:00:56
LUCKY MONKEY BUDS,137 Cedar Street,Trinidad,CO,81082,2016-11-14 01:00:57,2016-11-14 01:00:57
SWEET LEAF,2647 West 38th Avenue,Denver,CO,80211,2016-11-14 01:00:58,2016-11-14 01:00:58
SWEET LEAF,2609 Walnut Street,Denver,CO,80205,2016-11-14 01:00:59,2016-11-14 01:00:59
THE KIND ROOM,1881 South Broadway,Denver,CO,80210,2016-11-14 01:00:47,2016-11-14 01:00:47
HIGH LEVEL HEALTH,2028 East Colfax Avenue,Denver,CO,80206,2016-11-14 01:00:48,2016-11-14 01:00:48
HIGH LEVEL HEALTH,970 Lincoln Street,Denver,CO,80203,2016-11-14 01:00:49,2016-11-14 01:00:49
DENVER KUSH CLUB,2615 Welton Street,Denver,CO,80205,2016-11-14 01:00:50,2016-11-14 01:00:50
DOCTORS ORDERS,1406 West 38th Avenue,Denver,CO,80211,2016-11-14 01:00:51,2016-11-14 01:00:51
DURANGO REC ROOM ,"145 East College Drive, Units 1, 2, 3, 4 & 5",Durango,CO,81301,2016-11-14 01:00:52,2016-11-14 01:00:52
ROCKY MOUNTAIN HIGH,120 East 36th Street,Durango,CO,81301,2016-11-14 01:00:53,2016-11-14 01:00:53
ACME HEALING CENTER,1644 County Road 203,Durango,CO,81301,2016-11-14 01:00:54,2016-11-14 01:00:54
DURANGO ORGANICS,"72 Suttle Street, Unit G",Durango,CO,81303,2016-11-14 01:00:55,2016-11-14 01:00:55
DO CORTEZ LLP,1104 East Main Street,Cortez,CO,81321,2016-11-14 01:00:56,2016-11-14 01:00:56
NATURES MEDICINE SALIDA,"230 West 16th Street,  Suite C",Salida,CO,81201,2016-11-14 01:00:57,2016-11-14 01:00:57
ELITE ORGANICS,"804 South College Avenue, Suite C",Fort Collins,CO,80524,2016-11-14 01:00:54,2016-11-14 01:00:54
ELK MOUNTAIN TRADING POST LLC,170 East 3rd Street,De Beque,CO,81630,2016-11-14 01:00:55,2016-11-14 01:00:55
EMERALD CITY,520 Nevada Avenue,Trinidad,CO,81082,2016-11-14 01:00:56,2016-11-14 01:00:56
CHAMPION CANNABIS,82 South Federal Boulevard,Denver,CO,80219,2016-11-14 01:00:57,2016-11-14 01:00:57
FARAGOSI FARMS,118 Santa Fe Trail,Trinidad,CO,81082,2016-11-14 01:00:58,2016-11-14 01:00:58
FIDDLERS GREEN LLC,402 Palomino Trail,Ridgway,CO,81432,2016-11-14 01:00:59,2016-11-14 01:00:59
FIPG LLC,67 North Silicon # 130,Pueblo West,CO,81007,2016-11-14 01:00:47,2016-11-14 01:00:47
FLOWER POWER BOTANICALS LLC,1308-1310 Duff Drive,Fort Collins,CO,80524,2016-11-14 01:00:48,2016-11-14 01:00:48
FOX CANNABIS,4773 North Fox Street,Denver,CO,80216,2016-11-14 01:00:49,2016-11-14 01:00:49
FREEDOM ROAD,2600 Freedom Road,Trinidad,CO,81082,2016-11-14 01:00:50,2016-11-14 01:00:50
FREEDOM ROAD,514 West Main Street,Trinidad,CO,81082,2016-11-14 01:00:51,2016-11-14 01:00:51
FRESH BAKED,2539 Pearl Street,Boulder,CO,80302,2016-11-14 01:00:52,2016-11-14 01:00:52
MEDICINE MAN,4750 Nome Street,Denver,CO,80239,2016-11-14 01:00:53,2016-11-14 01:00:53
MEDICINE MAN,1901 South Havana Street,Aurora,CO,80014,2016-11-14 01:00:54,2016-11-14 01:00:54
